name	type	description	onlinefilter	samplingrate
MLT54-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT55-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT56-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLT57-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC13-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC14-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC15-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC16-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC17-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC24-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC25-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC52-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC53-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC54-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC55-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC61-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC62-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRC63-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF13-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF14-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF24-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF25-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF33-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF34-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF35-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF43-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF44-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF45-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF46-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF52-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF53-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF54-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF55-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF56-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF61-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF62-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF63-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF64-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF65-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF66-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRF67-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO13-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO14-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO24-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO33-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO34-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO43-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO44-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO52-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRO53-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP33-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP34-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP35-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP43-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP44-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP45-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP52-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP54-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP55-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP56-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRP57-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRT11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRT12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRT13-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MRT14-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
